road,direction,mode,total_uses,00:00–01:00,01:00–02:00,02:00–03:00,03:00–04:00,04:00–05:00,05:00–06:00,06:00–07:00,07:00–08:00,08:00–09:00,09:00–10:00,10:00–11:00,11:00–12:00,12:00–13:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Ekkersweijer,return,CAR,12556,4262,1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,5781
Terraweg,return,CAR,12444,4230,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,5727
Ekkersweijer,departure,CAR,12350,0,0,0,0,0,0,0,0,0,0,60,471,1359,2216,2463,1956,1419,971,697,437,255,46,0,0
Terraweg,departure,CAR,12219,0,0,0,0,0,0,0,0,0,0,60,471,1359,2206,2430,1929,1401,961,687,426,244,45,0,0
Eindhovenseweg-Zuid,return,CAR,11114,3785,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,5106
Eindhovenseweg-Zuid,departure,CAR,10921,0,0,0,0,0,0,0,0,0,0,59,449,1246,1994,2154,1710,1222,839,624,370,213,41,0,0
Rijksweg,return,CAR,5850,1999,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,2704
Rijksweg,departure,CAR,5761,0,0,0,0,0,0,0,0,0,0,53,345,850,1226,1081,764,570,366,292,159,53,2,0,0
A2,return,CAR,5497,1899,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,2497
E25,return,CAR,5497,1899,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,2497
A2,departure,CAR,4760,0,0,0,0,0,0,0,0,0,0,24,183,562,975,969,709,529,323,253,158,70,5,0,0
E25,departure,CAR,4760,0,0,0,0,0,0,0,0,0,0,24,183,562,975,969,709,529,323,253,158,70,5,0,0
E31,return,CAR,4193,1412,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,1953
Ekkersweijer,departure,WALK,4147,0,0,0,0,0,0,0,0,0,2,57,268,630,818,762,550,405,287,193,128,47,0,0,0
E31,departure,CAR,4134,0,0,0,0,0,0,0,0,0,0,35,272,698,873,729,550,399,249,200,107,22,0,0,0
Boxtelseweg,return,CAR,4010,1367,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,1848
Ekkersweijer,return,WALK,3959,1346,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,1834
A59,departure,CAR,3953,0,0,0,0,0,0,0,0,0,0,24,186,566,864,781,518,417,239,205,112,41,0,0,0
Kanaaldijk,departure,CAR,3921,0,0,0,0,0,0,0,0,0,0,35,270,672,807,682,527,377,245,192,89,23,2,0,0
Boxtelseweg,departure,CAR,3898,0,0,0,0,0,0,0,0,0,0,24,182,540,846,774,526,398,248,208,110,41,1,0,0
Ring 's-Hertogenbosch,departure,CAR,3893,0,0,0,0,0,0,0,0,0,0,24,182,540,846,773,526,398,246,207,109,41,1,0,0
Ring 's-Hertogenbosch,return,CAR,3889,1329,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,1791
N.C.B.-weg,return,CAR,3838,1285,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,1781
Europaweg,return,CAR,3811,1283,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,1752
Kanaaldijk Noord,return,CAR,3810,1273,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,1769
Hoberglaan,return,CAR,3809,1273,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,1768
Bestseweg,return,CAR,3807,1271,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,1768
N.C.B.-weg,departure,CAR,3791,0,0,0,0,0,0,0,0,0,0,35,266,654,789,659,508,357,232,182,87,20,2,0,0
Kanaaldijk Noord,departure,CAR,3765,0,0,0,0,0,0,0,0,0,0,35,266,654,785,651,505,353,230,179,87,19,1,0,0
Hoberglaan,departure,CAR,3764,0,0,0,0,0,0,0,0,0,0,35,266,654,785,651,505,353,230,179,87,18,1,0,0
Bestseweg,departure,CAR,3762,0,0,0,0,0,0,0,0,0,0,35,266,654,786,651,504,353,229,179,87,18,0,0,0
A50,return,CAR,3754,1258,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,1741
Dassenbaan,return,CAR,3730,1250,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,1731
A50,departure,CAR,3710,0,0,0,0,0,0,0,0,0,0,35,266,653,776,639,491,346,222,178,86,17,1,0,0
Dassenbaan,departure,CAR,3686,0,0,0,0,0,0,0,0,0,0,35,266,652,772,633,485,345,220,177,86,15,0,0,0
Europaweg,departure,CAR,3596,0,0,0,0,0,0,0,0,0,0,35,259,624,721,621,496,340,223,172,81,23,1,0,0
Ekkersweijer,departure,BICYCLE,3351,0,0,0,0,0,0,0,0,0,11,72,212,437,671,650,418,359,230,131,130,30,0,0,0
Ekkersweijer,return,BICYCLE,3229,1089,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,1495
Slenkweg,return,CAR,3020,1005,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,1396
Slenkweg,departure,CAR,2942,0,0,0,0,0,0,0,0,0,0,35,254,571,627,499,369,251,157,127,47,5,0,0,0
Boschdijk,departure,CAR,2935,0,0,0,0,0,0,0,0,0,0,0,1,51,338,649,608,426,320,215,158,137,32,0,0
Delhuijzenweg,return,CAR,2867,952,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1324
Delhuijzenweg,departure,CAR,2785,0,0,0,0,0,0,0,0,0,0,35,251,560,592,464,341,234,145,116,44,3,0,0,0
Boschdijk,return,CAR,2775,947,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,1263
A27,return,CAR,2755,947,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,1271
E30,return,CAR,2750,939,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,1251
A27,departure,CAR,2662,0,0,0,0,0,0,0,0,0,0,21,154,412,558,499,344,271,171,134,75,23,0,0,0
E30,departure,CAR,2662,0,0,0,0,0,0,0,0,0,0,20,160,467,588,483,327,257,155,132,57,16,0,0,0
Rondje Eindhoven - Hoofdroute,return,WALK,2079,706,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,965
A28,return,CAR,2064,703,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,956
A28,departure,CAR,1977,0,0,0,0,0,0,0,0,0,0,35,218,392,428,318,222,142,107,86,25,4,0,0,0
E232,return,CAR,1972,671,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,917
E311,return,CAR,1939,670,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,892
E232,departure,CAR,1912,0,0,0,0,0,0,0,0,0,0,35,218,389,411,302,216,131,102,85,20,3,0,0,0
Rondje Eindhoven - Hoofdroute,departure,WALK,1874,0,0,0,0,0,0,0,0,0,1,46,194,404,378,284,222,138,95,75,32,5,0,0,0
E311,departure,CAR,1867,0,0,0,0,0,0,0,0,0,0,20,132,308,404,345,231,160,113,100,39,15,0,0,0
EuroVelo 4 - Centraal-Europaroute - deel Nederland,departure,BICYCLE,1842,0,0,0,0,0,0,0,0,0,8,52,164,286,363,361,211,173,104,70,49,1,0,0,0
Ring Utrecht,return,CAR,1752,605,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,807
Schelde-Rheinroute - 05 - Hilvarenbeek - Stad van Gerwen,departure,BICYCLE,1714,0,0,0,0,0,0,0,0,0,8,47,154,273,329,343,191,164,94,65,45,1,0,0,0
Ring Utrecht,departure,CAR,1678,0,0,0,0,0,0,0,0,0,0,20,132,298,368,285,193,146,102,89,36,9,0,0,0
Unknown,departure,WALK,1596,0,0,0,0,0,0,0,2,6,36,93,172,234,275,254,200,128,96,55,32,13,0,0,0
E35,departure,CAR,1544,0,0,0,0,0,0,0,0,0,0,4,50,221,333,320,219,180,87,84,38,8,0,0,0
E35,return,CAR,1540,520,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,721
Terraweg,departure,BICYCLE,1533,0,0,0,0,0,0,0,0,0,5,34,127,243,303,310,169,143,85,62,46,6,0,0,0
Rondje Eindhoven - Hoofdroute,departure,BICYCLE,1513,0,0,0,0,0,0,0,0,0,2,15,38,138,324,292,213,189,133,61,82,26,0,0,0
Terraweg,return,BICYCLE,1510,481,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,727
Fransebaan,return,WALK,1470,483,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,693
Kanaalstraat,departure,BICYCLE,1422,0,0,0,0,0,0,0,0,0,4,26,57,143,291,268,203,177,118,51,68,16,0,0,0
Terraweg,departure,WALK,1377,0,0,0,0,0,0,0,0,0,0,4,45,119,253,283,200,168,139,76,57,33,0,0,0
Eindhovenseweg,return,BICYCLE,1350,450,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,635
Stichtseweg,return,CAR,1344,451,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,630
Stichtse Brug,return,CAR,1343,451,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,629
Ringweg,return,CAR,1340,445,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,623
de Dieze,return,CAR,1328,443,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,621
Eindhovenseweg,departure,BICYCLE,1325,0,0,0,0,0,0,0,0,0,6,44,124,222,257,237,147,126,72,50,33,7,0,0,0
Stichtseweg,departure,CAR,1324,0,0,0,0,0,0,0,0,0,0,20,130,262,287,208,158,94,70,74,20,1,0,0,0
Stichtse Brug,departure,CAR,1323,0,0,0,0,0,0,0,0,0,0,20,130,262,287,208,158,94,69,74,20,1,0,0,0
Rondje Eindhoven - Hoofdroute,return,BICYCLE,1322,460,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,595
Europalaan,departure,BICYCLE,1316,0,0,0,0,0,0,0,0,0,2,15,39,127,280,249,184,166,112,51,69,22,0,0,0
Cotentinlaan,return,WALK,1316,434,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,624
Fransebaan,departure,WALK,1304,0,0,0,0,0,0,0,0,0,1,29,131,276,272,201,151,95,67,52,25,4,0,0,0
de Dieze,departure,CAR,1297,0,0,0,0,0,0,0,0,0,0,1,22,113,212,277,219,179,122,62,56,30,4,0,0
Savoiepad,return,WALK,1290,420,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,616
Correzelaan,return,WALK,1289,420,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,615
Auvergnelaan,return,WALK,1289,420,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,615
Europalaan,return,BICYCLE,1288,454,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,570
Bataweg,return,CAR,1288,427,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,606
Terraweg,return,WALK,1277,417,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,611
Oude Bossche Baan,return,WALK,1276,414,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,611
EuroVelo 4 - Centraal-Europaroute - deel Nederland,return,BICYCLE,1258,430,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,575
Erica,return,CAR,1249,416,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,581
Bataweg,departure,CAR,1248,0,0,0,0,0,0,0,0,0,0,1,22,113,207,268,209,171,117,61,52,26,1,0,0
Provincialeweg,return,CAR,1247,429,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,586
Provincialeweg,departure,CAR,1245,0,0,0,0,0,0,0,0,0,0,8,64,174,287,233,160,134,85,53,37,10,0,0,0
E22,return,CAR,1232,410,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,581
A7,return,CAR,1231,410,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,580
Erica,departure,CAR,1230,0,0,0,0,0,0,0,0,0,0,1,22,113,206,263,205,167,114,61,52,25,1,0,0
Kruisstraat,departure,BICYCLE,1229,0,0,0,0,0,0,0,0,0,2,17,40,119,259,235,170,157,102,47,60,21,0,0,0
Oude Bossche Baan,departure,BICYCLE,1228,0,0,0,0,0,0,0,0,0,2,15,37,119,259,236,171,156,101,48,63,21,0,0,0
E22,departure,CAR,1227,0,0,0,0,0,0,0,0,0,0,29,148,255,281,170,130,83,58,59,13,1,0,0,0
Tilburgseweg,return,CAR,1221,425,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,542
Doctor Berlagelaan,departure,BICYCLE,1220,0,0,0,0,0,0,0,0,0,2,15,37,119,257,234,169,155,101,47,63,21,0,0,0
Kloosterdreef,departure,BICYCLE,1216,0,0,0,0,0,0,0,0,0,2,15,37,119,257,233,168,154,101,47,62,21,0,0,0
Woenselse Markt,departure,BICYCLE,1213,0,0,0,0,0,0,0,0,0,2,15,37,119,257,232,168,154,101,47,60,21,0,0,0
Kruisstraattunnel,departure,BICYCLE,1211,0,0,0,0,0,0,0,0,0,2,15,37,119,257,232,168,154,99,47,60,21,0,0,0
Fellenoordpad,departure,BICYCLE,1211,0,0,0,0,0,0,0,0,0,2,15,37,119,257,232,168,154,99,47,60,21,0,0,0
A58,return,CAR,1210,399,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,565
E312,return,CAR,1210,399,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,565
