attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,total_duration,total_length,leg1_carbon,leg2_carbon,leg3_carbon,leg4_carbon,leg5_carbon,leg6_carbon,leg7_carbon,leg8_carbon,leg9_carbon,leg10_carbon,leg11_carbon,leg12_carbon,leg13_carbon,calculated_total_carbon_footprint,leg1_cost,leg2_cost,leg3_cost,leg4_cost,leg5_cost,leg6_cost,leg7_cost,leg8_cost,leg9_cost,leg10_cost,leg11_cost,leg12_cost,leg13_cost,calculated_total_cost
A00001,dep,1,BICYCLE,16.91975,59.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.96666666666667,16.91975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00002,dep,2,WALK,3.1053,39.48333333333333,BUS,8.59842,15.0,WALK,0.2386599999999999,3.6666666666666665,RAIL,140.78885,96.0,WALK,0.19904,2.95,RAIL,80.00296,47.0,WALK,0.45792,6.15,BUS,7.841069999999999,19.0,WALK,2.5835100000000004,33.766666666666666,,,,,,,,,,,,,263.01666666666665,243.81573,0.0,902.8341,0.0,5772.34285,0.0,3280.12136,0.0,823.3123499999999,0.0,0.0,0.0,0.0,0.0,10778.61066,0.0,1.7196840000000002,0.0,21.1183275,0.0,12.000444,0.0,1.568214,0.0,0.0,0.0,0.0,0.0,36.4066695
A00003,dep,1,BICYCLE,51.01338,178.16666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.16666666666666,51.01338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00004,dep,1,WALK,2.30877,29.08333333333333,BUS,11.25712,19.0,WALK,0.28645,4.216666666666667,RAIL,164.59847,94.0,WALK,0.19712,2.933333333333333,RAIL,47.92513,27.0,WALK,0.2566,3.216666666666667,RAIL,21.83171,17.0,WALK,0.31374,4.516666666666667,BUS,4.659020000000001,9.0,WALK,1.7693,22.8,,,,,,,232.7666666666667,255.40343,0.0,1181.9976000000001,0.0,6748.53727,0.0,1964.9303300000001,0.0,895.1001100000001,0.0,489.1971000000001,0.0,0.0,0.0,11279.762409999998,0.0,2.251424,0.0,24.689770499999998,0.0,7.1887695,0.0,3.2747565,0.0,0.9318040000000002,0.0,0.0,0.0,38.3365245
A00005,dep,1,BICYCLE,14.45623,51.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.766666666666666,14.45623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00006,dep,2,WALK,3.11619,40.11666666666667,RAIL,22.846310000000003,26.0,WALK,0.27885,4.2,RAIL,39.41669,27.0,WALK,0.05274,0.7833333333333333,RAIL,47.92513,27.0,WALK,0.2566,3.216666666666667,RAIL,21.83171,17.0,WALK,0.31374,4.516666666666667,BUS,4.659020000000001,9.0,WALK,1.7693,22.8,,,,,,,181.63333333333333,142.46627999999998,0.0,936.6987100000001,0.0,1616.08429,0.0,1964.9303300000001,0.0,895.1001100000001,0.0,489.1971000000001,0.0,0.0,0.0,5902.010540000001,0.0,3.4269465,0.0,5.912503500000001,0.0,7.1887695,0.0,3.2747565,0.0,0.9318040000000002,0.0,0.0,0.0,20.73478
A00008,dep,1,WALK,7.82768,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,7.82768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00009,dep,1,BICYCLE,36.17189,127.91666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.91666666666669,36.17189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00010,dep,1,BICYCLE,16.62724,59.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.25,16.62724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00011,dep,1,WALK,2.75937,35.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.96666666666667,2.75937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
