Category,Metric,Value
departure,total_carbon_footprint,1190066.0409600001
departure,avg_carbon_footprint,12020.869100606062
departure,total_cost,2634.2607677500005
departure,avg_cost,26.608694623737378
departure,total_travel_time,10463.783333333333
departure,avg_travel_time,105.69478114478115
departure,total_legs,99.0
departure,avg_legs_per_attendee,1.0
departure,direct_mode_WALK_count,28.0
departure,direct_mode_WALK_proportion,0.2828282828282828
departure,direct_mode_BICYCLE_count,32.0
departure,direct_mode_BICYCLE_proportion,0.32323232323232326
departure,direct_mode_CAR_count,39.0
departure,direct_mode_CAR_proportion,0.3939393939393939
departure,transit_mode_TRAM_count,0.0
departure,transit_mode_TRAM_proportion,0.0
departure,transit_mode_SUBWAY_count,0.0
departure,transit_mode_SUBWAY_proportion,0.0
departure,transit_mode_BUS_count,0.0
departure,transit_mode_BUS_proportion,0.0
departure,transit_mode_RAIL_count,0.0
departure,transit_mode_RAIL_proportion,0.0
return,total_carbon_footprint,1054111.91008
return,avg_carbon_footprint,10867.133093608249
return,total_cost,2344.47890125
return,avg_cost,24.169885579896906
return,total_travel_time,10890.716666666665
return,avg_travel_time,112.27542955326459
return,total_legs,106.0
return,avg_legs_per_attendee,1.092783505154639
return,direct_mode_WALK_count,32.0
return,direct_mode_WALK_proportion,0.32989690721649484
return,direct_mode_BICYCLE_count,30.0
return,direct_mode_BICYCLE_proportion,0.30927835051546393
return,direct_mode_CAR_count,35.0
return,direct_mode_CAR_proportion,0.36082474226804123
return,transit_mode_TRAM_count,0.0
return,transit_mode_TRAM_proportion,0.0
return,transit_mode_SUBWAY_count,0.0
return,transit_mode_SUBWAY_proportion,0.0
return,transit_mode_BUS_count,1.0
return,transit_mode_BUS_proportion,0.010309278350515464
return,transit_mode_RAIL_count,1.0
return,transit_mode_RAIL_proportion,0.010309278350515464
combined,total_carbon_footprint,2244177.95104
combined,avg_carbon_per_attendee,22668.464151919194
combined,total_cost,4978.7396690000005
combined,avg_cost_per_attendee,50.29029968686869
combined,total_travel_time,21354.5
combined,avg_travel_time_per_attendee,215.7020202020202
combined,total_legs,205.0
combined,avg_legs_per_attendee,2.0707070707070705
combined,direct_mode_WALK_count,32.0
combined,direct_mode_WALK_proportion,0.32
combined,direct_mode_BICYCLE_count,33.0
combined,direct_mode_BICYCLE_proportion,0.33
combined,direct_mode_CAR_count,39.0
combined,direct_mode_CAR_proportion,0.39
combined,transit_mode_TRAM_count,0.0
combined,transit_mode_TRAM_proportion,0.0
combined,transit_mode_SUBWAY_count,0.0
combined,transit_mode_SUBWAY_proportion,0.0
combined,transit_mode_BUS_count,1.0
combined,transit_mode_BUS_proportion,0.01
combined,transit_mode_RAIL_count,1.0
combined,transit_mode_RAIL_proportion,0.01
