Category,Metric,Value
departure,total_carbon_footprint,1190066.0409600001
departure,avg_carbon_footprint,12020.869100606062
departure,total_cost,2634.2607677500005
departure,avg_cost,26.608694623737378
departure,total_travel_time,10463.783333333333
departure,avg_travel_time,105.69478114478115
departure,total_legs,99.0
departure,avg_legs_per_attendee,1.0
departure,direct_mode_WALK_count,28.0
departure,direct_mode_WALK_proportion,0.2828282828282828
departure,direct_mode_BICYCLE_count,32.0
departure,direct_mode_BICYCLE_proportion,0.32323232323232326
departure,direct_mode_CAR_count,39.0
departure,direct_mode_CAR_proportion,0.3939393939393939
departure,transit_mode_TRAM_count,0.0
departure,transit_mode_TRAM_proportion,0.0
departure,transit_mode_SUBWAY_count,0.0
departure,transit_mode_SUBWAY_proportion,0.0
departure,transit_mode_BUS_count,0.0
departure,transit_mode_BUS_proportion,0.0
departure,transit_mode_RAIL_count,0.0
departure,transit_mode_RAIL_proportion,0.0
return,total_carbon_footprint,1018014.06921
return,avg_carbon_footprint,10494.990404226804
return,total_cost,2279.3292432499998
return,avg_cost,23.49823962113402
return,total_travel_time,11008.966666666665
return,avg_travel_time,113.49450171821304
return,total_legs,114.0
return,avg_legs_per_attendee,1.175257731958763
return,direct_mode_WALK_count,33.0
return,direct_mode_WALK_proportion,0.3402061855670103
return,direct_mode_BICYCLE_count,30.0
return,direct_mode_BICYCLE_proportion,0.30927835051546393
return,direct_mode_CAR_count,34.0
return,direct_mode_CAR_proportion,0.35051546391752575
return,transit_mode_TRAM_count,0.0
return,transit_mode_TRAM_proportion,0.0
return,transit_mode_SUBWAY_count,0.0
return,transit_mode_SUBWAY_proportion,0.0
return,transit_mode_BUS_count,2.0
return,transit_mode_BUS_proportion,0.020618556701030927
return,transit_mode_RAIL_count,2.0
return,transit_mode_RAIL_proportion,0.020618556701030927
combined,total_carbon_footprint,2208080.11017
combined,avg_carbon_per_attendee,22303.839496666667
combined,total_cost,4913.590011
combined,avg_cost_per_attendee,49.63222233333334
combined,total_travel_time,21472.75
combined,avg_travel_time_per_attendee,216.89646464646464
combined,total_legs,213.0
combined,avg_legs_per_attendee,2.1515151515151514
combined,direct_mode_WALK_count,33.0
combined,direct_mode_WALK_proportion,0.33
combined,direct_mode_BICYCLE_count,33.0
combined,direct_mode_BICYCLE_proportion,0.33
combined,direct_mode_CAR_count,39.0
combined,direct_mode_CAR_proportion,0.39
combined,transit_mode_TRAM_count,0.0
combined,transit_mode_TRAM_proportion,0.0
combined,transit_mode_SUBWAY_count,0.0
combined,transit_mode_SUBWAY_proportion,0.0
combined,transit_mode_BUS_count,2.0
combined,transit_mode_BUS_proportion,0.02
combined,transit_mode_RAIL_count,2.0
combined,transit_mode_RAIL_proportion,0.02
