Category,Metric,Value
departure,total_carbon_footprint,276066335.38960046
departure,avg_carbon_footprint,13853.883444050809
departure,total_cost,351885.3127619015
departure,avg_cost,17.65871996597087
departure,total_travel_time,1825508.6499999943
departure,avg_travel_time,91.6098083002958
departure,total_legs,23925.0
departure,avg_legs_per_attendee,1.2006323079239223
departure,direct_mode_WALK_count,4226.0
departure,direct_mode_WALK_proportion,0.21207407035680234
departure,direct_mode_BICYCLE_count,3351.0
departure,direct_mode_BICYCLE_proportion,0.168163797862197
departure,direct_mode_CAR_count,12350.0
departure,direct_mode_CAR_proportion,0.6197621317810007
departure,transit_mode_TRAM_count,6.0
departure,transit_mode_TRAM_proportion,0.0003010990113915793
departure,transit_mode_SUBWAY_count,24.0
departure,transit_mode_SUBWAY_proportion,0.0012043960455663172
departure,transit_mode_BUS_count,657.0
departure,transit_mode_BUS_proportion,0.03297034174737793
departure,transit_mode_RAIL_count,412.0
departure,transit_mode_RAIL_proportion,0.020675465448888444
return,total_carbon_footprint,281662832.38331974
return,avg_carbon_footprint,14249.144148495965
return,total_cost,342302.5067284015
return,avg_cost,17.31686683504839
return,total_travel_time,1783304.6833333396
return,avg_travel_time,90.21625352017705
return,total_legs,20549.0
return,avg_legs_per_attendee,1.0395608843021198
return,direct_mode_WALK_count,3982.0
return,direct_mode_WALK_proportion,0.20144685587089595
return,direct_mode_BICYCLE_count,3229.0
return,direct_mode_BICYCLE_proportion,0.16335306318611828
return,direct_mode_CAR_count,12556.0
return,direct_mode_CAR_proportion,0.6352000809429857
return,transit_mode_TRAM_count,0.0
return,transit_mode_TRAM_proportion,0.0
return,transit_mode_SUBWAY_count,0.0
return,transit_mode_SUBWAY_proportion,0.0
return,transit_mode_BUS_count,158.0
return,transit_mode_BUS_proportion,0.007993119846208327
return,transit_mode_RAIL_count,64.0
return,transit_mode_RAIL_proportion,0.0032377194313755247
combined,total_carbon_footprint,557729167.7729201
combined,avg_carbon_per_attendee,27988.616840112416
combined,total_cost,694187.819490303
combined,avg_cost_per_attendee,34.836544361434385
combined,total_travel_time,3608813.333333334
combined,avg_travel_time_per_attendee,181.1016878272361
combined,total_legs,44474.0
combined,avg_legs_per_attendee,2.231846238771516
combined,direct_mode_WALK_count,4408.0
combined,direct_mode_WALK_proportion,0.22117410938283993
combined,direct_mode_BICYCLE_count,3438.0
combined,direct_mode_BICYCLE_proportion,0.17250376317109883
combined,direct_mode_CAR_count,12601.0
combined,direct_mode_CAR_proportion,0.6322629202207727
combined,transit_mode_TRAM_count,6.0
combined,transit_mode_TRAM_proportion,0.00030105368790767686
combined,transit_mode_SUBWAY_count,24.0
combined,transit_mode_SUBWAY_proportion,0.0012042147516307074
combined,transit_mode_BUS_count,666.0
combined,transit_mode_BUS_proportion,0.03341695935775213
combined,transit_mode_RAIL_count,419.0
combined,transit_mode_RAIL_proportion,0.0210235825388861
