Category,Metric,Value
departure,total_carbon_footprint,138544.38144
departure,avg_carbon_footprint,13854.438144
departure,total_cost,306.67376099999996
departure,avg_cost,30.667376099999995
departure,total_travel_time,530.3833333333333
departure,avg_travel_time,53.038333333333334
departure,total_legs,10.0
departure,avg_legs_per_attendee,1.0
departure,direct_mode_WALK_count,0.0
departure,direct_mode_WALK_proportion,0.0
departure,direct_mode_BICYCLE_count,0.0
departure,direct_mode_BICYCLE_proportion,0.0
departure,direct_mode_CAR_count,10.0
departure,direct_mode_CAR_proportion,1.0
departure,transit_mode_TRAM_count,0.0
departure,transit_mode_TRAM_proportion,0.0
departure,transit_mode_SUBWAY_count,0.0
departure,transit_mode_SUBWAY_proportion,0.0
departure,transit_mode_BUS_count,0.0
departure,transit_mode_BUS_proportion,0.0
departure,transit_mode_RAIL_count,0.0
departure,transit_mode_RAIL_proportion,0.0
return,total_carbon_footprint,137733.01632
return,avg_carbon_footprint,13773.301631999999
return,total_cost,304.8777705
return,avg_cost,30.48777705
return,total_travel_time,524.7833333333333
return,avg_travel_time,52.47833333333333
return,total_legs,10.0
return,avg_legs_per_attendee,1.0
return,direct_mode_WALK_count,0.0
return,direct_mode_WALK_proportion,0.0
return,direct_mode_BICYCLE_count,0.0
return,direct_mode_BICYCLE_proportion,0.0
return,direct_mode_CAR_count,10.0
return,direct_mode_CAR_proportion,1.0
return,transit_mode_TRAM_count,0.0
return,transit_mode_TRAM_proportion,0.0
return,transit_mode_SUBWAY_count,0.0
return,transit_mode_SUBWAY_proportion,0.0
return,transit_mode_BUS_count,0.0
return,transit_mode_BUS_proportion,0.0
return,transit_mode_RAIL_count,0.0
return,transit_mode_RAIL_proportion,0.0
combined,total_carbon_footprint,276277.39775999996
combined,avg_carbon_per_attendee,27627.739775999995
combined,total_cost,611.5515315
combined,avg_cost_per_attendee,61.155153150000004
combined,total_travel_time,1055.1666666666665
combined,avg_travel_time_per_attendee,105.51666666666665
combined,total_legs,20.0
combined,avg_legs_per_attendee,2.0
combined,direct_mode_WALK_count,0.0
combined,direct_mode_WALK_proportion,0.0
combined,direct_mode_BICYCLE_count,0.0
combined,direct_mode_BICYCLE_proportion,0.0
combined,direct_mode_CAR_count,10.0
combined,direct_mode_CAR_proportion,1.0
combined,transit_mode_TRAM_count,0.0
combined,transit_mode_TRAM_proportion,0.0
combined,transit_mode_SUBWAY_count,0.0
combined,transit_mode_SUBWAY_proportion,0.0
combined,transit_mode_BUS_count,0.0
combined,transit_mode_BUS_proportion,0.0
combined,transit_mode_RAIL_count,0.0
combined,transit_mode_RAIL_proportion,0.0
