attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,leg14_mode,leg14_length,leg14_duration,leg15_mode,leg15_length,leg15_duration,total_duration,total_length
A00001,dep,1,WALK,1.04124,13.266666666666667,BUS,4.600359999999999,11.0,WALK,0.24699000000000002,3.5166666666666666,RAIL,10.89649,10.0,RAIL,132.41178,89.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,48.0,WALK,0.45792,6.15,BUS,9.7371,20.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,226.66666666666669,241.36205
A00001,dep,2,WALK,1.04877,13.3,BUS,36.00607,52.0,WALK,0.43745,6.416666666666667,RAIL,117.65547000000001,77.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,48.0,WALK,0.45792,6.15,BUS,9.7371,20.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,,,,248.60000000000002,247.31295000000003
A00001,dep,3,WALK,2.1396599999999997,27.15,BUS,3.26815,6.0,WALK,0.24918,3.45,RAIL,10.89649,10.0,RAIL,132.41178,89.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,47.0,WALK,0.45792,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,239.45,239.18708
A00001,dep,1,CAR,178.48072,114.18333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.18333333333334,178.48072
A00002,dep,1,WALK,7.93732,100.91666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.91666666666667,7.93732
A00002,dep,1,BICYCLE,7.98875,28.716666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.716666666666665,7.98875
A00002,dep,1,CAR,9.473799999999999,15.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05,9.473799999999999
A00003,dep,1,WALK,4.26466,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,4.26466
A00003,dep,2,WALK,0.32195999999999997,4.433333333333334,BUS,4.659020000000001,10.0,WALK,1.7692999999999999,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.233333333333334,6.75028
A00003,dep,1,BICYCLE,4.92878,19.516666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.516666666666666,4.92878
A00003,dep,1,CAR,4.72561,8.216666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.216666666666667,4.72561
A00004,dep,1,WALK,2.39667,30.4,BUS,9.44834,22.0,WALK,0.19034,3.066666666666667,RAIL,36.83714,22.0,WALK,0.45792,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,131.38333333333333,58.89423
A00004,dep,1,BICYCLE,39.788940000000004,139.98333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.98333333333332,39.788940000000004
A00004,dep,1,CAR,39.57232,30.366666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.366666666666667,39.57232
A00005,dep,1,WALK,0.66174,8.533333333333333,BUS,10.129959999999999,26.0,BUS,9.7371,20.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.33333333333333,22.298889999999997
A00005,dep,2,WALK,0.66174,8.533333333333333,BUS,11.01315,26.0,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3,21.238709999999998
A00005,dep,1,BICYCLE,19.55435,69.56666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.56666666666666,19.55435
A00005,dep,1,CAR,19.586740000000002,21.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.35,19.586740000000002
A00006,dep,1,WALK,3.1387600000000004,39.733333333333334,BUS,2.45061,3.0,WALK,0.01815,0.35,BUS,23.18183,33.0,WALK,0.132,2.05,RAIL,75.00341,57.0,WALK,0.16293000000000002,2.45,RAIL,87.86362,50.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,293.4333333333333,282.17296
A00006,dep,2,WALK,3.16996,40.166666666666664,BUS,23.83685,40.0,WALK,0.18806,2.8666666666666667,RAIL,75.00341,53.0,WALK,0.16293000000000002,2.45,RAIL,87.86362,50.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,294.33333333333326,280.44648
A00006,dep,3,WALK,3.1387600000000004,39.733333333333334,BUS,2.45061,3.0,WALK,0.01815,0.35,BUS,23.18183,33.0,WALK,0.132,2.05,RAIL,75.00341,57.0,WALK,0.16293000000000002,2.45,RAIL,87.86362,50.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,293.4333333333333,282.17296
A00006,dep,1,CAR,246.1795,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,246.1795
A00007,dep,1,WALK,2.72725,35.68333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.68333333333333,2.72725
A00007,dep,1,BICYCLE,3.4557800000000003,13.083333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.083333333333334,3.4557800000000003
A00007,dep,1,CAR,5.2286,8.116666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.116666666666667,5.2286
A00008,dep,1,WALK,0.79092,10.35,BUS,1.3311,3.0,WALK,0.22119,3.566666666666667,RAIL,140.78885,97.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,48.0,WALK,0.45792,6.15,BUS,9.7371,20.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,,,,213.80000000000004,235.29725000000002
A00008,dep,2,WALK,2.2696300000000003,29.633333333333333,RAIL,140.78885,97.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,48.0,WALK,0.45792,6.15,BUS,9.7371,20.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,,,,,,,,,,226.51666666666668,235.22367000000003
A00008,dep,3,WALK,0.79092,10.35,BUS,1.3311,3.0,WALK,0.22723,3.65,RAIL,140.78885,98.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,47.0,WALK,0.45792,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,218.85000000000002,233.35992000000002
A00008,dep,4,WALK,2.27567,29.7,RAIL,140.78885,98.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,47.0,WALK,0.45792,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,231.55,233.28634
A00008,dep,5,WALK,0.79092,10.35,BUS,1.3311,3.0,WALK,0.22119,3.566666666666667,RAIL,140.78885,97.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,48.0,WALK,0.45792,6.15,BUS,9.7371,20.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,,,,213.80000000000004,235.29725000000002
A00008,dep,1,CAR,174.52065,110.48333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.48333333333333,174.52065
A00009,dep,1,WALK,0.49767,6.433333333333334,BUS,6.05694,18.0,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2,16.11843
A00009,dep,2,WALK,0.040920000000000005,0.5166666666666667,BUS,6.720899999999999,22.0,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.28333333333333,16.32564
A00009,dep,3,WALK,0.49767,6.433333333333334,BUS,6.05694,19.0,BUS,9.7371,20.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.23333333333333,18.0618
A00009,dep,4,WALK,0.040920000000000005,0.5166666666666667,BUS,6.720899999999999,22.0,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.28333333333333,16.32564
A00009,dep,1,BICYCLE,14.555549999999998,52.583333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.583333333333336,14.555549999999998
A00009,dep,1,CAR,15.230379999999998,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,15.230379999999998
