attendee_id,leg1_duration,leg1_length,leg1_mode,leg2_duration,leg2_length,leg2_mode,leg3_duration,leg3_length,leg3_mode,leg4_duration,leg4_length,leg4_mode,leg5_duration,leg5_length,leg5_mode,leg6_duration,leg6_length,leg6_mode,leg7_duration,leg7_length,leg7_mode,leg8_duration,leg8_length,leg8_mode,leg9_duration,leg9_length,leg9_mode,total_carbon_footprint,total_duration,total_length
A00001,70.01666666666667,99.43447,CAR,,,,,,,,,,,,,,,,,,,,,,,,,0,70.01666666666667,99.43447
A00002,29.383333333333333,38.89266000000001,CAR,,,,,,,,,,,,,,,,,,,,,,,,,0,29.383333333333333,38.89266000000001
A00002,28.416666666666668,38.40707,CAR,,,,,,,,,,,,,,,,,,,,,,,,,0,28.416666666666668,38.40707
A00003,27.716666666666665,2.19989,WALK,45.0,44.82791,BUS,6.833333333333333,0.32941000000000004,WALK,12.25,5.1422799999999995,SUBWAY,5.05,0.17991,WALK,62.0,103.88054,RAIL,6.15,0.45792,WALK,17.0,9.7371,BUS,22.8,1.77009,WALK,0,204.8,168.52505
A00003,65.65,100.98105,CAR,,,,,,,,,,,,,,,,,,,,,,,,,0,65.65,100.98105
A00004,106.16666666666667,30.16003,BICYCLE,,,,,,,,,,,,,,,,,,,,,,,,,0,106.16666666666667,30.16003
A00005,29.383333333333333,38.89266000000001,CAR,,,,,,,,,,,,,,,,,,,,,,,,,0,29.383333333333333,38.89266000000001
A00005,32.983333333333334,2.53727,WALK,21.0,7.9465,BUS,3.066666666666667,0.20355,WALK,17.0,20.146069999999998,RAIL,42.55,3.32935,WALK,,,,,,,,,,,,,0,116.60000000000001,34.16274
A00007,29.383333333333333,38.89266000000001,CAR,,,,,,,,,,,,,,,,,,,,,,,,,0,29.383333333333333,38.89266000000001
A00007,28.416666666666668,38.40707,CAR,,,,,,,,,,,,,,,,,,,,,,,,,0,28.416666666666668,38.40707
A00010,32.766666666666666,2.58839,WALK,18.0,10.18493,BUS,4.3,0.27605,WALK,19.0,32.07784,RAIL,6.15,0.45775,WALK,20.0,9.7371,BUS,22.8,1.77009,WALK,,,,,,,0,123.01666666666667,57.092150000000004
A00010,78.66666666666667,22.06416,BICYCLE,,,,,,,,,,,,,,,,,,,,,,,,,0,78.66666666666667,22.06416
