Category,Metric,Value
departure,total_carbon_footprint,265999594.57239002
departure,avg_carbon_footprint,13348.70249271792
departure,total_cost,329421.81679270003
departure,avg_cost,16.53143056118332
departure,total_travel_time,2183748.9333333336
departure,avg_travel_time,109.58744082568042
departure,total_legs,21562.0
departure,avg_legs_per_attendee,1.0820494806042054
departure,direct_mode_WALK_count,6264.0
departure,direct_mode_WALK_proportion,0.31434736789280876
departure,direct_mode_BICYCLE_count,5078.0
departure,direct_mode_BICYCLE_proportion,0.25483012997440657
departure,direct_mode_CAR_count,8585.0
departure,direct_mode_CAR_proportion,0.43082250213278467
departure,transit_mode_TRAM_count,0.0
departure,transit_mode_TRAM_proportion,0.0
departure,transit_mode_SUBWAY_count,11.0
departure,transit_mode_SUBWAY_proportion,0.0005520148542178953
departure,transit_mode_BUS_count,192.0
departure,transit_mode_BUS_proportion,0.009635168364530537
departure,transit_mode_RAIL_count,192.0
departure,transit_mode_RAIL_proportion,0.009635168364530537
return,total_carbon_footprint,265914585.01638
return,avg_carbon_footprint,13452.450296776446
return,total_cost,322422.49215410004
return,avg_cost,16.311149499372693
return,total_travel_time,2167079.7333333334
return,avg_travel_time,109.63119003052225
return,total_legs,20173.0
return,avg_legs_per_attendee,1.0205392826427886
return,direct_mode_WALK_count,6291.0
return,direct_mode_WALK_proportion,0.31825770223099104
return,direct_mode_BICYCLE_count,4874.0
return,direct_mode_BICYCLE_proportion,0.2465725704456923
return,direct_mode_CAR_count,8602.0
return,direct_mode_CAR_proportion,0.43516972732331666
return,transit_mode_TRAM_count,0.0
return,transit_mode_TRAM_proportion,0.0
return,transit_mode_SUBWAY_count,0.0
return,transit_mode_SUBWAY_proportion,0.0
return,transit_mode_BUS_count,43.0
return,transit_mode_BUS_proportion,0.002175342742955431
return,transit_mode_RAIL_count,43.0
return,transit_mode_RAIL_proportion,0.002175342742955431
combined,total_carbon_footprint,531914179.58877003
combined,avg_carbon_per_attendee,26693.138936556934
combined,total_cost,651844.3089468001
combined,avg_cost_per_attendee,32.71161283418478
combined,total_travel_time,4350828.666666667
combined,avg_travel_time_per_attendee,218.33836837791273
combined,total_legs,41735.0
combined,avg_legs_per_attendee,2.09439454007126
combined,direct_mode_WALK_count,6563.0
combined,direct_mode_WALK_proportion,0.3293025589563472
combined,direct_mode_BICYCLE_count,5198.0
combined,direct_mode_BICYCLE_proportion,0.26081284495735074
combined,direct_mode_CAR_count,8638.0
combined,direct_mode_CAR_proportion,0.43341695935775215
combined,transit_mode_TRAM_count,0.0
combined,transit_mode_TRAM_proportion,0.0
combined,transit_mode_SUBWAY_count,11.0
combined,transit_mode_SUBWAY_proportion,0.0005519317611640742
combined,transit_mode_BUS_count,198.0
combined,transit_mode_BUS_proportion,0.009934771700953337
combined,transit_mode_RAIL_count,198.0
combined,transit_mode_RAIL_proportion,0.009934771700953337
