route_name,direction,total_uses,00:00–01:00,03:00–04:00,06:00–07:00,07:00–08:00,08:00–09:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Dordrecht <-> Venlo IC3500 Intercity,departure,245,0,0,0,0,0,0,2,7,28,52,50,47,21,24,13,1
Best Station - Eindhoven Station 9,departure,237,6,0,0,0,8,0,0,2,5,10,12,9,66,51,44,24
Son - Ekkersrijt - Eindhoven Station 406,departure,184,0,0,0,0,2,0,3,13,25,49,59,33,0,0,0,0
Son - Ekkersrijt - Eindhoven Station 406,return,163,0,0,0,0,0,3,8,30,43,28,28,23,0,0,0,0
Best Station - Eindhoven Station 9,return,109,1,0,0,0,0,0,2,9,10,8,8,6,25,15,20,5
Enkhuizen <-> Maastricht IC2900 Intercity,departure,93,0,0,0,0,0,0,3,6,12,17,17,13,9,11,4,1
Den Haag Centraal <-> Groningen IC500 Intercity,departure,87,0,0,0,0,0,0,0,7,17,18,15,12,8,8,2,0
Dordrecht <-> Venlo IC3500 Intercity,return,86,0,0,0,0,0,0,0,3,11,12,22,14,15,9,0,0
Den Haag Centraal <-> Leeuwarden IC600 Intercity,departure,85,0,0,0,0,0,0,1,13,14,25,11,9,7,1,2,2
's-Hertogenbosch <-> Deurne SPR4400 Sprinter,departure,62,0,0,0,0,0,0,0,0,0,0,1,23,10,16,11,1
's-Hertogenbosch <-> Deurne SPR4400 Sprinter,return,47,0,0,0,0,0,1,4,4,3,1,8,10,10,6,0,0
Schiphol Airport <-> Leeuwarden IC800 Intercity,departure,43,0,0,0,0,0,0,0,8,12,12,4,3,4,0,0,0
Geldrop Coevering - Eindhoven Station 324,return,40,0,0,0,0,0,0,4,11,9,5,9,1,0,1,0,0
Den Haag Centraal <-> Eindhoven Centraal IC1100 Intercity,departure,38,0,0,0,2,0,1,1,3,5,8,9,1,4,2,2,0
Eindhoven Achtse Barrier - Station 405,departure,36,0,0,0,0,0,0,0,0,0,0,9,9,6,8,3,1
Eindhoven Achtse Barrier - Station 405,return,34,0,0,0,0,0,0,0,0,0,0,10,4,11,8,1,0
Den Haag Centraal <-> Groningen IC500 Intercity,return,33,0,0,0,0,0,0,0,1,3,11,8,7,3,0,0,0
Schiphol Airport <-> Leeuwarden IC800 Intercity,return,29,0,0,0,0,0,0,1,2,9,7,7,3,0,0,0,0
Den Helder <-> Nijmegen IC3000 Intercity,departure,26,0,0,0,0,0,0,0,4,9,4,3,1,2,2,0,1
Den Haag Centraal <-> Leeuwarden IC600 Intercity,return,25,0,0,0,0,0,0,1,2,5,4,3,8,2,0,0,0
Tilburg Universiteit <-> Weert SPR6400 Sprinter,departure,22,0,0,7,0,0,0,0,0,0,2,1,2,6,4,0,0
Den Haag Centraal <-> Enschede IC1700 Intercity,departure,21,0,0,0,0,0,0,0,2,5,6,2,4,1,1,0,0
Zwolle <-> Roosendaal IC3600 Intercity,departure,20,0,0,0,0,0,0,0,0,3,4,4,7,2,0,0,0
Enkhuizen <-> Maastricht IC2900 Intercity,return,16,0,0,0,0,0,0,3,1,2,4,1,2,1,1,1,0
Helmond Station - Asten - Eindhoven Station 320,return,15,0,0,0,0,0,0,4,2,1,2,2,1,0,2,1,0
Zwolle <-> Groningen SPR6100 Sprinter,departure,14,0,0,0,0,0,0,1,4,0,3,1,1,3,0,1,0
lijn D,departure,14,0,0,0,0,0,1,0,0,1,3,3,3,2,1,0,0
Bergeijk - Veldhoven - Eindhoven Station 18,return,13,0,0,0,0,0,0,0,1,8,0,1,0,1,2,0,0
Tilburg Universiteit <-> Weert SPR6400 Sprinter,return,13,0,0,0,0,0,0,0,2,2,1,3,3,2,0,0,0
Veldhoven MMC - Eindhoven Station 7,return,13,0,0,0,0,0,0,2,2,6,0,2,0,0,1,0,0
Utrecht Centraal <-> Zwolle SPR5600 Sprinter,departure,12,0,0,0,0,0,0,1,2,4,3,0,1,0,0,1,0
Geldrop Coevering - Eindhoven Station 324,departure,12,0,0,0,0,0,0,0,5,3,1,0,0,2,1,0,0
Zwolle <-> Emmen ST8000 Stoptrein RS20,departure,12,0,0,0,0,0,0,0,3,2,3,2,1,1,0,0,0
Veldhoven MMC - Eindhoven Station 16,return,12,0,0,0,0,0,1,1,2,1,1,1,1,1,3,0,0
Groningen <-> Leeuwarden ST37400 Stoptrein RS1,departure,11,0,0,0,0,0,0,2,1,1,6,0,0,0,0,1,0
Veldhoven Abdijlaan - Eindhoven Station 15,return,11,0,0,0,0,0,1,0,4,2,1,1,0,2,0,0,0
Veldhoven Zonderwijk - Eindhoven Station 402,return,11,0,0,0,0,0,0,0,2,1,2,0,1,4,1,0,0
Helmond Station - Mierlo - Eindhoven Station 24,return,11,0,0,0,0,0,1,0,4,4,2,0,0,0,0,0,0
Zwolle <-> Emmen S3800 Sneltrein RE20,departure,10,0,0,0,0,0,0,2,3,1,2,1,1,0,0,0,0
Heerenveen - Sneek - Bolsward - Harlingen 99,departure,10,0,0,0,0,0,0,2,1,2,2,1,2,0,0,0,0
Vlissingen <-> Amsterdam Centraal IC2200 Intercity,departure,10,0,0,0,0,0,0,1,1,2,2,1,3,0,0,0,0
Reusel - Eersel - Eindhoven Station 319,return,10,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0
Leeuwarden <-> Harlingen Haven ST37200 Stoptrein RS2,departure,9,0,0,0,0,0,0,0,4,2,2,1,0,0,0,0,0
Heerenveen - Drachten - Groningen 324,departure,9,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0
Roermond <-> Maastricht Randwyck ST32400 Stoptrein RS12,departure,9,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0
Den Helder <-> Nijmegen IC3000 Intercity,return,9,0,0,0,0,0,0,0,2,4,2,0,0,0,1,0,0
Schiphol Airport <-> Groningen IC700 Intercity,departure,9,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,2
Luyksgestel - Valkenswaard - Eindhoven Station 318,return,8,0,0,0,0,0,0,0,3,0,1,2,0,0,2,0,0
Enkhuizen <-> Heerlen IC3900 Intercity,departure,8,0,0,0,0,0,0,0,3,1,1,1,1,0,1,0,0
Veldhoven MMC - Eindhoven Station 16,departure,8,0,0,0,0,0,0,0,1,0,0,0,1,2,4,0,0
Lauwersoog - Dokkum - Leeuwarden 51,departure,8,0,0,0,0,0,0,1,1,2,3,0,1,0,0,0,0
Bladel - Eersel - Eindhoven Station 19,return,8,0,0,0,0,0,2,0,4,1,1,0,0,0,0,0,0
Leiden Centraal <-> Tiel SPR6700 Sprinter,departure,8,0,0,0,0,0,0,0,0,2,0,3,0,2,1,0,0
Breda <-> Amersfoort Schothorst ICD1800 Intercity direct,departure,7,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0
's-Gravenzande via Naaldwijk en Delft - Zoetermeer 455,departure,7,0,0,0,0,0,0,1,2,1,2,0,0,1,0,0,0
Nachtnettrein Utrecht Centraal <-> Eindhoven Centraal Intercity,departure,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assen - Dieverbrug - Steenwijk 20,departure,7,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0
Arnhem Centraal <-> Dordrecht SPR6600 Sprinter,departure,6,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0
Renesse - Spijkenisse Metro Centrum 104,departure,6,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0
Veldhoven Zonderwijk - Eindhoven Station 402,departure,6,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0
Sittard via Susteren - Maaseik 35,departure,6,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0
Leeuwarden - Burgum - Drachten 21,departure,6,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0
Heerenveen - Sneek - Bolsward - Harlingen 99,return,6,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0
Den Haag Centraal <-> Eindhoven Centraal IC1100 Intercity,return,6,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0
Breukelen <-> Rhenen SPR7300 Sprinter,departure,6,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0
Kop Afsluitdijk - Harlingen - Leeuwarden 71,departure,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
Leeuwarden <-> Stavoren ST37100 Stoptrein RS3,return,5,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0
Hoorn Station - Den Helder Station via Den Oever 135,departure,5,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0
Heerenveen - Oosterwolde 15,return,5,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0
Amsterdam Noord via Edam - Hoorn 314,departure,5,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0
Luyksgestel - Valkenswaard - Eindhoven Station 318,departure,5,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0
Schiphol Airport <-> Groningen IC700 Intercity,return,5,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0
Groningen <-> Leeuwarden ST37400 Stoptrein RS1,return,5,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0
Dokkum - Holwert - Leeuwarden 60,return,5,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
Bladel - Eersel - Eindhoven Station 19,departure,5,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0
Emmeloord - Zwolle 71,departure,5,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0
Groningen <-> Roodeschool ST37600 Stoptrein RS4,departure,5,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0
Bolsward - Workum - Balk - Sneek 44,departure,4,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
lijn B,departure,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Emmeloord - Heerenveen - Groningen 315,departure,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
