attendee_id,direction,routes_used
A00029,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Leeuwarden <-> Harlingen Haven ST37200 Stoptrein RS2', 'Son - Ekkersrijt - Eindhoven Station 406', 'Tzum - Franeker Station 8082']"
A00030,departure,"['Bolsward - Workum - Balk - Sneek 44', 'Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Makkum - Bolsward - Sneek - Heerenveen 390', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00036,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Veendam - Gieten - Assen 310', 'Zwolle <-> Groningen SPR6100 Sprinter']"
A00042,departure,"['Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Groningen - Middelstum - Uithuizen 61', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00053,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A00054,departure,"['Best Station - Eindhoven Station 9', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Maastricht via Gulpen - Aachen 350', 'Mamelis via Vijlen - Vaals 59']"
A00055,departure,"['Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Stadskanaal - Gieten - Groningen 312']"
A00070,departure,['Best Station - Eindhoven Station 9']
A00080,departure,"['Annen - Haren - P+R Meerstad - Tersluis/Harkstede 5', 'Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00083,departure,"[""'s-Hertogenbosch <-> Deurne SPR4400 Sprinter"", 'Best Station - Eindhoven Station 9', 'Den Haag Centraal <-> Groningen IC500 Intercity', 'Dokkum - Leeuwarden - Bolsward 355', 'Dordrecht <-> Venlo IC3500 Intercity', 'Schiphol Airport <-> Leeuwarden IC800 Intercity', 'Sibrandahûs - Dokkum Busstation 7081']"
A00093,return,"['Alkmaar Station - Den Oever Busstation N50', 'Best Station - Eindhoven Station 9', 'Den Helder <-> Nijmegen IC3000 Intercity', 'Nachtnettrein Utrecht Centraal <-> Eindhoven Centraal Intercity', 'Nachtnettrein Utrecht Centraal <-> Rotterdam Centraal Intercity']"
A00106,departure,"['Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Zoutkamp - Groningen 65']"
A00110,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Groningen <-> Leeuwarden S37300 Sneltrein RE1', 'Son - Ekkersrijt - Eindhoven Station 406', 'Surhuisterveen - Groningen 39', 'Zwolle <-> Groningen SPR6100 Sprinter']"
