road,direction,total_uses,00:00–01:00,01:00–02:00,02:00–03:00,03:00–04:00,08:00–09:00,09:00–10:00,10:00–11:00,11:00–12:00,12:00–13:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Ekkersweijer,departure,478,0,0,0,0,0,1,5,21,53,82,102,71,53,36,23,17,12,2,0,0
Ekkersweijer,return,460,154,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,217
Terraweg,return,359,117,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,167
Terraweg,departure,341,0,0,0,0,0,0,2,10,37,60,74,48,42,25,16,13,12,2,0,0
Eindhovenseweg-Zuid,return,279,97,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,123
Eindhovenseweg-Zuid,departure,246,0,0,0,0,0,0,0,6,22,43,51,37,32,22,14,9,9,1,0,0
Unknown,departure,202,0,0,0,0,1,9,16,28,29,39,32,18,11,8,6,3,2,0,0,0
Kanaaldijk,departure,121,0,0,0,0,0,0,2,3,15,30,26,12,15,8,5,3,2,0,0,0
Rijksweg,return,119,37,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,51
Rijksweg,departure,109,0,0,0,0,0,0,1,3,13,25,27,14,7,9,7,2,1,0,0,0
A2,return,109,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51
E25,return,109,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51
Kanaaldijk Noord,return,108,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,46
N.C.B.-weg,departure,97,0,0,0,0,0,0,1,6,16,23,18,11,12,4,4,2,0,0,0,0
E31,return,97,34,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40
N.C.B.-weg,return,97,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40
Bestseweg,return,95,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39
Hoberglaan,return,93,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38
Boschdijk,departure,93,0,0,0,0,0,0,1,3,3,9,19,20,11,9,6,5,6,1,0,0
A50,return,93,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38
Dassenbaan,return,92,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38
Kanaaldijk Noord,departure,91,0,0,0,0,0,0,1,4,12,25,18,8,11,6,4,2,0,0,0,0
Boschdijk,return,89,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45
Europaweg,return,88,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41
Boxtelseweg,return,87,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36
E25,departure,87,0,0,0,0,0,0,0,3,10,12,25,11,6,11,6,2,1,0,0,0
A2,departure,87,0,0,0,0,0,0,0,3,10,12,25,11,6,11,6,2,1,0,0,0
Boxtelseweg,departure,82,0,0,0,0,0,0,1,7,14,12,20,9,6,9,3,0,1,0,0,0
Bestseweg,departure,78,0,0,0,0,0,0,0,3,11,23,15,7,10,3,4,2,0,0,0,0
E31,departure,77,0,0,0,0,0,0,0,2,13,23,16,6,9,3,3,2,0,0,0,0
Hoberglaan,departure,76,0,0,0,0,0,0,0,2,11,22,15,7,10,3,4,2,0,0,0,0
A50,departure,76,0,0,0,0,0,0,0,2,11,22,15,7,10,3,4,2,0,0,0,0
de Dieze,return,75,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,42
Dassenbaan,departure,74,0,0,0,0,0,0,0,2,11,22,14,6,10,3,4,2,0,0,0,0
de Dieze,departure,73,0,0,0,0,0,0,1,0,10,16,20,7,8,2,1,4,3,1,0,0
Bataweg,return,72,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41
Europaweg,departure,72,0,0,0,0,0,0,0,2,13,19,15,4,9,3,2,3,2,0,0,0
Ekkersrijt,departure,72,0,0,0,0,0,0,1,4,5,10,16,15,7,8,4,2,0,0,0,0
Rondje Eindhoven - Hoofdroute,departure,71,0,0,0,0,0,1,2,7,13,13,14,8,3,3,4,2,1,0,0,0
Kanaaldijk Zuid,departure,70,0,0,0,0,0,0,1,4,5,10,15,15,7,8,3,2,0,0,0,0
Rondje Eindhoven - Hoofdroute,return,70,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37
Bataweg,departure,70,0,0,0,0,0,0,1,0,10,15,19,7,8,2,1,4,3,0,0,0
Ring 's-Hertogenbosch,departure,66,0,0,0,0,0,0,0,3,9,11,18,9,5,7,3,0,1,0,0,0
Slenkweg,return,66,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29
Delhuijzenweg,return,65,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29
A59,departure,65,0,0,0,0,0,0,0,3,10,11,17,10,5,6,2,0,1,0,0,0
Ring 's-Hertogenbosch,return,65,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27
Eindhovenseweg,return,58,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27
Eindhovenseweg,departure,56,0,0,0,0,0,0,2,4,8,7,14,6,4,2,6,3,0,0,0,0
A27,return,56,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28
EuroVelo 4 - Centraal-Europaroute - deel Nederland,departure,56,0,0,0,0,0,0,3,5,10,9,12,8,5,4,0,0,0,0,0,0
Schelde-Rheinroute - 05 - Hilvarenbeek - Stad van Gerwen,departure,53,0,0,0,0,0,0,3,5,9,8,12,7,5,4,0,0,0,0,0,0
Ringweg,return,53,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29
Oude Bossche Baan,return,50,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27
Oude Bossche Baan,departure,50,0,0,0,0,0,1,2,5,10,8,8,6,3,3,3,1,0,0,0,0
A28,return,50,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23
Slenkweg,departure,49,0,0,0,0,0,0,0,1,8,15,10,4,5,2,2,2,0,0,0,0
Tilburgseweg,departure,49,0,0,0,0,0,0,1,1,2,7,14,7,6,5,4,1,1,0,0,0
E232,return,48,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22
Tilburgseweg,return,48,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25
Delhuijzenweg,departure,48,0,0,0,0,0,0,0,1,8,15,10,3,5,2,2,2,0,0,0,0
A27,departure,47,0,0,0,0,0,0,0,1,5,9,11,7,5,4,0,3,2,0,0,0
Science Park Eindhoven,departure,46,0,0,0,0,0,0,0,0,2,7,11,13,5,4,3,1,0,0,0,0
Europalaan,return,45,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22
E30,return,45,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18
Perron F,departure,45,0,0,0,0,0,0,0,0,3,11,14,7,3,4,1,2,0,0,0,0
Spoor 1,departure,43,0,0,0,0,0,0,1,0,3,9,13,7,3,4,1,2,0,0,0,0
Europalaan,departure,41,0,0,0,0,0,1,1,2,8,8,6,5,4,3,2,1,0,0,0,0
Doctor Berlagelaan,return,40,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20
Doctor Berlagelaan,departure,39,0,0,0,0,0,1,2,4,8,8,5,3,3,3,2,0,0,0,0,0
Kanaaldijk,return,39,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18
EuroVelo 4 - Centraal-Europaroute - deel Nederland,return,38,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
18,departure,38,0,0,0,0,0,0,0,2,9,11,6,3,3,1,2,1,0,0,0,0
Spoor 2,departure,37,0,0,0,0,0,0,0,0,2,9,11,6,2,3,1,2,1,0,0,0
E30,departure,37,0,0,0,0,0,0,0,3,3,8,8,4,5,5,0,1,0,0,0,0
A28,departure,37,0,0,0,0,0,0,0,0,8,13,7,1,4,1,2,1,0,0,0,0
Fransebaan,return,37,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
Schelde-Rheinroute - 05 - Hilvarenbeek - Stad van Gerwen,return,36,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
E232,departure,36,0,0,0,0,0,0,0,0,8,13,6,1,4,1,2,1,0,0,0,0
Kronehoefstraat,return,35,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16
Kronehoefstraat,departure,35,0,0,0,0,0,1,1,0,4,3,6,8,3,2,1,3,3,0,0,0
Erica,return,35,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20
corridor,departure,34,0,0,0,0,0,0,0,2,7,11,4,3,3,1,2,1,0,0,0,0
