road,direction,mode,total_uses,00:00–01:00,01:00–02:00,03:00–04:00,07:00–08:00,08:00–09:00,09:00–10:00,10:00–11:00,11:00–12:00,12:00–13:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Ekkersweijer,departure,CAR,270,0,0,0,0,0,0,0,7,25,44,57,42,34,25,14,11,9,2,0,0
Terraweg,departure,CAR,267,0,0,0,0,0,0,0,7,25,44,56,42,33,25,13,11,9,2,0,0
Ekkersweijer,return,CAR,259,85,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,119
Terraweg,return,CAR,256,85,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,117
Eindhovenseweg-Zuid,departure,CAR,237,0,0,0,0,0,0,0,7,23,39,51,37,29,23,12,8,7,1,0,0
Eindhovenseweg-Zuid,return,CAR,225,79,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,99
Unknown,departure,WALK,181,0,0,0,0,0,8,13,28,28,34,30,13,10,5,5,5,2,0,0,0
Ekkersweijer,departure,WALK,124,0,0,0,0,0,1,2,8,14,19,29,22,12,5,6,4,2,0,0,0
Rijksweg,departure,CAR,106,0,0,0,0,0,0,0,5,13,19,24,16,8,11,7,2,1,0,0,0
A2,return,CAR,103,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,51
E25,return,CAR,103,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,51
Rijksweg,return,CAR,101,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,47
Ekkersweijer,return,WALK,90,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50
A2,departure,CAR,90,0,0,0,0,0,0,0,3,11,11,25,12,7,11,7,2,1,0,0,0
E25,departure,CAR,90,0,0,0,0,0,0,0,3,11,11,25,12,7,11,7,2,1,0,0,0
Kanaaldijk,departure,CAR,85,0,0,0,0,0,0,0,4,12,22,17,8,10,7,3,2,0,0,0,0
Ekkersweijer,departure,BICYCLE,84,0,0,0,0,0,0,3,8,14,17,17,8,6,7,2,1,1,0,0,0
E31,departure,CAR,83,0,0,0,0,0,0,0,4,14,22,18,7,9,6,2,1,0,0,0,0
Hoberglaan,departure,CAR,82,0,0,0,0,0,0,0,4,12,21,17,8,10,6,3,1,0,0,0,0
N.C.B.-weg,departure,CAR,82,0,0,0,0,0,0,0,4,12,21,17,8,10,6,3,1,0,0,0,0
Bestseweg,departure,CAR,82,0,0,0,0,0,0,0,4,12,21,17,8,10,6,3,1,0,0,0,0
Kanaaldijk Noord,departure,CAR,82,0,0,0,0,0,0,0,4,12,21,17,8,10,6,3,1,0,0,0,0
A50,departure,CAR,82,0,0,0,0,0,0,0,4,12,21,17,8,10,6,3,1,0,0,0,0
Ekkersweijer,return,BICYCLE,81,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36
Dassenbaan,departure,CAR,80,0,0,0,0,0,0,0,4,12,21,16,7,10,6,3,1,0,0,0,0
Europaweg,departure,CAR,79,0,0,0,0,0,0,0,4,14,19,17,5,9,6,1,2,2,0,0,0
E31,return,CAR,77,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31
Boschdijk,departure,CAR,76,0,0,0,0,0,0,0,0,1,7,15,17,11,8,5,5,6,1,0,0
Hoberglaan,return,CAR,73,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29
Bestseweg,return,CAR,73,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29
A50,return,CAR,73,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29
N.C.B.-weg,return,CAR,73,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29
Kanaaldijk Noord,return,CAR,73,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29
Dassenbaan,return,CAR,72,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29
Boschdijk,return,CAR,71,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33
Boxtelseweg,departure,CAR,70,0,0,0,0,0,0,0,3,10,10,18,10,6,8,4,0,1,0,0,0
Ring 's-Hertogenbosch,departure,CAR,69,0,0,0,0,0,0,0,3,10,10,18,10,6,7,4,0,1,0,0,0
Europaweg,return,CAR,68,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32
A59,departure,CAR,67,0,0,0,0,0,0,0,3,11,10,16,11,6,6,3,0,1,0,0,0
Boxtelseweg,return,CAR,66,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31
Ring 's-Hertogenbosch,return,CAR,59,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27
Slenkweg,departure,CAR,57,0,0,0,0,0,0,0,3,10,15,12,5,5,5,1,1,0,0,0,0
Delhuijzenweg,departure,CAR,56,0,0,0,0,0,0,0,3,10,15,12,4,5,5,1,1,0,0,0,0
EuroVelo 4 - Centraal-Europaroute - deel Nederland,departure,BICYCLE,52,0,0,0,0,0,0,3,5,10,9,11,6,4,4,0,0,0,0,0,0
Schelde-Rheinroute - 05 - Hilvarenbeek - Stad van Gerwen,departure,BICYCLE,49,0,0,0,0,0,0,3,5,9,8,11,5,4,4,0,0,0,0,0,0
